,id,phone,twitter,instagram,facebook,verified,checkins_count,users_count,tip_count,visits_count,url,price_tier,likes,rating,delivery_available,menu_available,specials_count,photos_count,here_now,listed,hours_days,attributes,Price,Credit Cards,Outdoor Seating,Wi-Fi,Brunch,Lunch,Dinner,Beer,Wine,Full Bar,Cocktails,Reservations,ATM,Breakfast,Dessert,Happy Hour,Wheelchair Accessible,TVs,Private Room,Live Music,Restroom,Jukebox,Music,Bar Service,Coat Check,Bar Snacks,Tasting Menu,Delivery,Street Parking,Valet Parking,BYO,Parking,Table Service,Public Lot
0,49e749fbf964a52086641fe3,3123724243,thegagechicago,,,True,,,336,,http://www.thegagechicago.com,3,879,9.0,1,1,0,981,0,843,"Mon–Thu: 11:00 AM–10:00 PM, Fri–Sun: 11:00 AM–Midnight","['Price: $$$', 'Credit Cards: Yes (incl. Discover & Visa)', 'Outdoor Seating: Yes', 'Wi-Fi: Yes', 'Brunch: Brunch', 'Lunch: Lunch', 'Dinner: Dinner', 'Beer: Beer', 'Wine: Wine', 'Full Bar: Full Bar', 'Cocktails: Cocktails']",$$$,Yes (incl. Discover & Visa),Yes,Yes,Brunch,Lunch,Dinner,Beer,Wine,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,,,,,,
1,55669b9b498ee34e5249ea61,3127923502,cindysrooftop,,702271533235732,True,,,137,,http://cindysrooftop.com,3,617,9.2,0,1,0,920,0,1012,"Mon–Fri, Sun: 3:00 PM–2:00 AM, Sat: 3:00 PM–3:00 AM","['Price: $$$', 'Reservations: Yes', 'Credit Cards: Yes', 'Outdoor Seating: Yes', 'Wi-Fi: Yes', 'Brunch: Brunch', 'Lunch: Lunch', 'Dinner: Dinner', 'Beer: Beer', 'Wine: Wine', 'Full Bar: Full Bar', 'Cocktails: Cocktails', 'ATM: Yes']",$$$,Yes,Yes,Yes,Brunch,Lunch,Dinner,Beer,Wine,Full Bar,Cocktails,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
2,556b5527498e3bb54be5ff78,3127923515,cherrycirclecaa,,977784172240041,True,,,42,,http://www.cherrycircleroom.com,3,178,8.7,0,1,0,169,0,240,"Mon–Sun: 7:00 AM–2:30 PM, 5:00 PM–Midnight","['Price: $$$', 'Credit Cards: Yes (incl. Discover & Visa)', 'Outdoor Seating: No', 'Wi-Fi: Yes', 'Breakfast: Breakfast', 'Brunch: Brunch', 'Lunch: Lunch', 'Dinner: Dinner', 'Dessert: Dessert', 'Happy Hour: Happy Hour', 'Beer: Beer', 'Wine: Wine', 'Full Bar: Full Bar', 'Cocktails: Cocktails']",$$$,Yes (incl. Discover & Visa),No,Yes,Brunch,Lunch,Dinner,Beer,Wine,Full Bar,Cocktails,,,Breakfast,Dessert,Happy Hour,,,,,,,,,,,,,,,,,,
3,53d6f406498e54a8e8dfb7c4,3125780763,acantochicago,,773395659366479,False,,,22,,http://acantochicago.com,4,76,8.2,1,1,0,90,0,63,"Mon–Thu: 11:00 AM–8:00 PM, Fri–Sat: 11:00 AM–10:00 PM","['Price: $$$$', 'Credit Cards: Yes', 'Outdoor Seating: Yes', 'Wi-Fi: Yes', 'Brunch: Brunch', 'Wine: Wine', 'Full Bar: Full Bar', 'Cocktails: Cocktails']",$$$$,Yes,Yes,Yes,Brunch,,,,Wine,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,,,,,,
4,4ac7958cf964a52036b820e3,3124438650,terzopianochi,,,True,,,51,,http://www.terzopianochicago.com,3,67,7.9,0,1,0,238,0,106,"Mon–Wed, Fri–Sat: 11:00 AM–3:00 PM, Thu: 11:00 AM–8:00 PM, Sun: 10:30 AM–3:00 PM","['Price: $$$', 'Credit Cards: Yes (incl. Discover & Visa)', 'Outdoor Seating: Yes', 'Wi-Fi: Free', 'Brunch: Brunch', 'Lunch: Lunch', 'Full Bar: Full Bar', 'Cocktails: Cocktails']",$$$,Yes (incl. Discover & Visa),Yes,Free,Brunch,Lunch,,,,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,,,,,,
5,551192b1498e8695352d33e6,3127826000,remingtonschi,,,True,,,25,,http://remingtonschicago.com,4,89,8.1,0,1,0,88,0,22,"Mon–Thu: 11:30 AM–10:00 PM, Fri: 11:30 AM–11:00 PM, Sat: 10:00 AM–11:00 PM, Sun: 11:00 AM–9:00 PM","['Price: $$$$', 'Credit Cards: Yes (incl. Discover & Visa)', 'Outdoor Seating: Yes', 'Wi-Fi: Free', 'Brunch: Brunch', 'Lunch: Lunch', 'Dinner: Dinner', 'Full Bar: Full Bar', 'Cocktails: Cocktails', 'Wheelchair Accessible: Yes', 'TVs: Yes']",$$$$,Yes (incl. Discover & Visa),Yes,Free,Brunch,Lunch,Dinner,,,Full Bar,Cocktails,,,,,,Yes,Yes,,,,,,,,,,,,,,,,
6,4aa986ccf964a520115420e3,3123327005,italianvlg,,,True,,,85,,http://italianvillage-chicago.com,3,227,8.1,1,1,0,284,0,129,"Mon–Thu: 11:00 AM–Midnight, Fri–Sat: 11:00 AM–1:00 AM, Sun: Noon–Midnight","['Price: $$$', 'Reservations: Yes', 'Credit Cards: Yes (incl. Discover & Visa)', 'Outdoor Seating: No', 'Brunch: Brunch', 'Lunch: Lunch', 'Dinner: Dinner', 'Happy Hour: Happy Hour', 'Wine: Wine', 'Full Bar: Full Bar', 'Cocktails: Cocktails']",$$$,Yes (incl. Discover & Visa),No,,Brunch,Lunch,Dinner,,Wine,Full Bar,Cocktails,Yes,,,,Happy Hour,,,,,,,,,,,,,,,,,,
7,4b87e738f964a5200ad231e3,3123327005,,,,False,,,3,,http://italianvillage-chicago.com/la-cantina/,3,6,7.8,1,1,0,0,0,1,"Mon–Fri: 11:30 AM–2:30 PM, 5:00 PM–9:00 PM, Sat: 5:00 PM–10:00 PM","['Price: $$$', 'Credit Cards: Yes', 'Outdoor Seating: No']",$$$,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4b217e27f964a520be3c24e3,3123841900,rosebudchicago,,,True,,,40,,http://www.rosebudrestaurants.com,4,70,7.3,1,1,0,85,0,27,"Mon–Fri: 11:00 AM–11:00 PM, Sat: Noon–11:00 PM, Sun: 3:00 PM–9:00 PM","['Price: $$$$', 'Credit Cards: Yes (incl. Discover & Visa)', 'Outdoor Seating: Yes', 'Private Room: Yes', 'Live Music: Live Music', 'Happy Hour: Happy Hour', 'Wine: Wine', 'Full Bar: Full Bar', 'Cocktails: Cocktails']",$$$$,Yes (incl. Discover & Visa),Yes,,,,,,Wine,Full Bar,Cocktails,,,,,Happy Hour,,,Yes,Live Music,,,,,,,,,,,,,,
9,40b28c80f964a52035fb1ee3,3124284881,,,,False,,,18,,http://vivere-chicago.com,4,12,7.2,1,1,0,24,0,8,Mon–Fri: 11:30 AM–2:30 PM,"['Price: $$$$', 'Credit Cards: Yes (incl. Discover & Visa)', 'Dinner: Dinner']",$$$$,Yes (incl. Discover & Visa),,,,,Dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,
